id,store_id,annual_lsv,annual_volume,data_year,total_duration
1,1,27893.83,922,2007,22.5
2,1,28658.83,975,975,67.78333333
3,2,82780.17,3421,2007,100.8166667
4,2,31382.49,1052,2021,37.65
5,3,50951.13,1979,2021,85.1
6,3,39609.79,1352,2007,71
7,4,31795.23,1376,2007,15.68333333
8,4,39839.87,1477,2021,61.36666667
9,5,40477.21,1177,2021,133.5666667
10,5,21445.91,760,2007,126.85
11,6,39905.97,1451,2021,41.93333333
12,6,56314.33,2126,2007,32.81666667
13,7,78428.84,2903,2021,613.4833333
14,7,162527.02,7291,2007,713.0333333
15,8,50858.83,1794,2007,48.13333333
16,8,48085.5,1821,2021,74
17,9,23525.97,825,2007,36.98333333
18,9,8488.34,368,2021,34
19,10,7490.7,182,2007,17.61666667
20,10,2266.61,74,2021,12.66666667
21,11,59707.75,1994,2007,42.45
22,11,148425.39,4624,2021,146.3166667
23,12,143170.99,5566,2007,33.25
24,12,314908.26,11241,2021,128.6166667
25,13,7748.73,289,2021,32.21666667
26,13,13175.92,451,2007,27.18333333
27,14,92901.58,2834,2021,217.6333333
28,14,78462.26,2347,2007,121.3
29,15,246611.15,9852,2007,509.2
30,15,261221.47,9594,2021,283.25
31,16,1970.38,87,2021,20.58333333
32,16,15717.03,627,2007,26.01666667
33,17,39993.48,1594,2007,267.4833333
34,17,51756.48,1759,2021,63.01666667
35,18,131051.35,6533,2007,61.43333333
36,18,91385.2,3710,2021,88.3
37,19,4834.44,191,2007,243.4333333
38,19,6111.57,290,2021,30.38333333
39,20,9578.52,365,2007,24.05
40,20,6620.33,251,2021,36.31666667
41,21,6462.93,217,2007,153.4666667
42,21,3546.4,154,2021,268.05
43,22,13669.8,372,2007,84.31666667
44,22,6168.21,166,2021,80.28333333
45,23,46816.24,1370,2007,344.9833333
46,23,60471.95,1994,2021,525.3166667
47,24,566,20,2021,7.3
48,24,306.6,15,2007,3.333333333
49,25,12188.14,351,2021,186.6166667
50,25,14680.74,512,2007,127.0833333
51,26,23520.88,711,2021,240.1666667
52,26,16643.18,706,2007,145.75
53,27,45654.96,1617,2021,187.4833333
54,27,24172.18,842,2007,344.5666667
55,28,45638.4,1760,2007,415.1666667
56,28,48110.71,1840,2021,323.5
57,29,7720.11,252,2021,36.65
58,29,14359.97,505,2007,27.21666667
59,30,7799.2,301,2007,49.51666667
60,30,2487.02,99,2021,8.3
61,31,5577.77,216,2021,23.28333333
62,31,11505.09,412,2007,28.3
63,32,17663.83,688,2021,339.1333333
64,32,28080.84,1140,2007,445.9166667
65,33,4769.44,160,2021,182.4
66,33,12076.55,406,2007,247.4833333
67,34,91592.5,3498,2021,73.16666667
68,34,136066.07,5042,2007,69.46666667
69,35,17456.15,674,2007,37.21666667
70,35,26902.89,924,2021,59.85
71,36,3847.21,139,2021,8.983333333
72,36,6445.25,230,2007,8.983333333
73,37,61101.06,2361,2007,51.11666667
74,37,10689.42,482,2021,17.45
75,38,58356.02,1755,2007,47.6
76,38,10551.76,255,2021,22.46666667
77,39,10083.38,319,2021,32.56666667
78,39,19663.79,567,2007,24.08333333
79,40,514020.08,18509,2021,404.9833333
80,40,509936.04,23474,2007,366.6833333
81,41,99527.83,4785,2007,59.88333333
82,41,49264.84,1954,2021,108.65
83,42,21257.66,664,2021,212.75
84,42,19255.15,557,2007,128.2333333
85,43,28545.48,993,2007,155.6666667
86,43,25847.23,832,2021,189.2666667
87,44,36786.19,1321,2007,235.8666667
88,44,39754.06,1245,2021,241.0666667
89,45,1420.12,50,2007,185.8833333
90,45,3377.324,105.2,2021,7.8
91,46,65084.16,2061,2007,72.98333333
92,46,56034.01,1822,2021,94.63333333
93,47,22216.23,753,2021,222.7666667
94,47,25458.13,863,2007,201.2666667
95,48,2615.77,73,2021,17.55
96,48,6235.43,204,2007,18.88333333
97,49,14825.72,515,2021,74.65
98,49,24353.04,816,2007,52.18333333
99,50,44788.63,1594,2021,328.05
100,50,56141.05,2164,2007,514.3666667
101,51,33525.22,1173,2021,69.31666667
102,51,12059.67,479,2007,221.85
103,52,237.71,2,2021,3.166666667
104,52,5634.54,246,2007,82.01666667
105,53,7333.97,225,2021,23.81666667
106,53,11452.21,420,2007,242.8166667
107,54,40615.41,1381,2021,333.2333333
108,54,44146.39,1589,2007,337
109,55,5707.01,215,2007,37.28333333
110,55,7188.43,260,2021,19.26666667
111,56,40598.3,1295,2021,55.21666667
112,56,29621.49,958,2007,32.06666667
113,57,13206.51,491,2021,41.08333333
114,57,13408.63,466,2007,27.58333333
115,58,11811.68,414,2021,44.58333333
116,58,14529.57,552,2007,17.95
117,59,53446.27,2512,2007,225.1833333
118,59,21362.594,842.2,2021,131.1166667
119,60,60892.56,2316,2007,55.68333333
120,60,57657.59,2109,2021,74.81666667
121,61,474845.06,17495,2021,190.05
122,61,542239.58,20052,2007,151.0833333
123,62,8815.51,313,2021,31.66666667
124,62,1368.23,29,2007,6.75
125,63,65491.68,2350,2007,192.3333333
126,63,83436.36,2347,2021,599.8166667
127,64,9674.84,329,2021,42.38333333
128,64,3407.09,127,2007,9.883333333
129,65,2534.73,64,2007,13.48333333
130,65,2798.36,96,2021,19
131,66,12530.64,477,2007,25.76666667
132,66,11057.3,392,2021,31.11666667
